sample_HFS308	sample_HFS309	sample_HFS310	sample_HFS311	sample_HFS312
GATC	183.129	152.788	135.66	94.6929	135.997
GATM	111.457	60.3019	120.417	95.0418	103.03
GATSL2	178.945	221.805	198.955	199.429	202.422
GATSL3	83.9472	94.6925	76.8035	116.977	73.1571
GBA	19.4724	23.7145	22.7259	31.2713	25.4615
GBA2	51.3013	53.7772	45.8914	48.4585	52.2418
GBAS	66.8475	63.8874	74.0158	56.921	55.8292
GBE1	4.73939	4.86665	7.13574	7.25111	7.15584
GBF1	31.1273	30.2478	25.897	39.3789	39.2594
GBX1	0.559032	1.16344	0	0.411744	0.182867
GBX2	7.08932	13.4663	6.03057	7.65233	10.6113
GC	3.47983	2.13128	11.0767	17.6067	11.697
GCAT	7.27748	5.93637	7.94872	5.84364	6.35722
GCC1	8.84594	11.5035	10.3252	7.4598	9.97357
GCDH	59.4472	44.6227	54.9133	57.5717	54.1358
GCFC2	1.12559	2.1773	1.50557	2.41816	2.32613
GCG	0	0	0	0	0
GCGR	2.28463	0.819782	1.5928	1.44553	1.45285
GCH1	7.28799	2.29687	5.4653	8.14874	14.4893
GCHFR	76.542	93.1505	66.0762	115.963	79.2703
GCK	0.172522	0.216587	1.06381	0	0.0568786
GCLC	19.8182	22.11643	26.3149	19.172401	20.13211
GCLM	13.0906	9.55781	18.7821	15.6323	14.1343
GCM1	0.0899352	0.225747	0	0.19921	0
GCM2	0.0572552	0.0960607	0.176227	0	0.15115
GCN1L1	14.1419	18.2153	14.8731	17.991	16.7155
GCNT1	0.835515	0.155315	0.954435	0.2742	0.428405
GCNT3	0.0896805	0	0	0	0
GCNT4	1.71124	2.14844	1.231	2.52666	2.0875
GCNT7	0.751492	0.864291	0.386328	0.62429	0.433473
GCSAM	0.229771	0.190521	0.475482	0.337982	0
GCSH	118.475	120.711	112.37	93.5278	117.745
GDA	1.84211	5.80276	1.66475	2.01204	1.02071
GDAP1	23.823	28.3388	17.8507	22.2224	20.5503682
GDAP1L1	89.416839	101.22286	78.14875	88.231343	89.832077
GDAP2	9.1029	10.0083	9.80301	9.55079	9.17977
GDE1	164.07	143.963	152.666	138.368	141.81
GDF1	51.0798	74.0519	33.1717	16.7173	30.7151
GDF10	5.16875	12.375	10.6205	4.4711	3.30223
GDF11	40.4933	30.037	31.8156	42.2436	33.7533
GDF15	0.89095	1.73074	0.306152	0.329131	0.293182
GDF2	0	0	0.097454	0	0.062479
GDF3	0	0	0	0	0
GDF5	0.218511	0.122052	0.22439	0.161259	0.0480475
GDF6	0.102777	0	0.105726	0	0
GDF7	0	0	0	0	0
GDF9	1.93462	1.03025	2.0788	1.62312	0.869715
GDI1	1220.64	1156.97	1279.5	1365.8	1603.74
GDI2	198.14700667021	185.4330121702	205.5530677946	215.8918578112	211.14995495172
GDNF	2.512659	1.222583	1.45314	0.516213	1.07235
GDPD1	24.2885	22.3901	23.7007	27.4114	24.4559
GDPD2	21.2384	32.4466	25.9524	26.7199	30.7334
GDPD3	0.273999	0.684918	1.55316	0.708437	0.811622
GDPD5	9.75354	9.33588	7.77857	10.8413	11.5098
GDPGP1	1.83036	2.69879	3.21289	3.18146	3.76015
GEM	1.4065	1.67245	1.15956	1.45431	1.48086
GEMIN2	12.3312	19.0137	22.8081	17.8285	17.7639
GEMIN4	4.88671	4.32651	3.57129	5.57146	5.35793
GEMIN5	9.44885	15.7541	9.95936	13.7524	14.5391
GEMIN6	48.5076	45.1653	40.676	44.6355	47.1318
GEMIN7	73.3519	57.4919	61.4386	36.3679	42.1656
GEMIN8	28.0637	31.2492	22.6136	31.0436	26.1908
GEN1	0.269981	0.518446	0.592917	0.483408	0.407517
GET4	135.015	151.602	123.126	126.784	132.851
GFAP	374.904	308.741	478.734	353.88	260.649
GFER	171.71	190.865	184.037	151.103	172.087
GFI1	0	0	0.141801	0.203293	0.181141
GFI1B	1.1513	0.410488	0.84847	2.7922	1.72957
GFM1	72.249	70.374	64.7874	64.6819	65.7664
GFM2	5.00197	6.08788	6.25774	7.44486	6.15036
GFOD1	22.1555	14.8174	18.8703	20.6031	19.0493
GFOD2	109.362	109.967	89.8451	94.1566	100.251
GFPT1	4.84916	5.69511	4.50682	5.30242	5.98661
GFPT2	0.325859	0.835862	1.05851	0.901784	1.239319
GFRA1	47.63564	12.173923	30.97941	53.8235	57.692
GFRA2	58.4639	42.3956	42.99804	55.1637	53.5685
GFRA3	0.28205	0.295446	0.1448	0.624409	0.279106
GFRA4	0.350331	0.145648	0	0	0.230185
GFRAL	0	0	0.363451	0.173898	0
GFY	0.309624	0.0648304	0.238529	0.171397	0.0510542
GGA1	66.92211	78.99497	64.40119	62.015206	68.29298
GGA2	26.5954	34.7237	28.5307	30.0401	25.7388
GGA3	74.9988	76.1396	68.8028	59.6259	71.1991
GGACT	391.136	553.212	647.726	315.065	383.269
GGCT	49.2247	49.9185	34.9883	43.7175	54.312515
GGCX	8.53088	10.62033	9.90665	8.85802	8.70641
GGH	5.56935	4.98013	3.91933	4.21531	5.00697
GGN	8.14022	6.81112	8.98878	4.72871	11.2193
GGNBP2	24.3332	24.9691	25.874	24.1645	26.4056
GGPS1	26.0186	27.0549	33.4419	26.0343	26.0406
GGT1	5.84609	8.48018	10.1139	8.09384	8.49472
GGT5	11.0301	9.70152	8.17826	4.77288	14.3298
GGT6	0	0	0	0	0
GGT7	88.5832	99.9488	83.3149	101.404	92.8409
GHDC	15.1577	17.6395	25.6897	18.9019	17.6326
GHITM	286.506	267.302	291.871	359.938	298.291
GHR	2.36888	3.24725	2.84545	2.4294	1.83032
GHRH	0.791493	16.7315	0	0	0.514308
GHRHR	0	0	0	0	0
GHRL	0	0	0	0	0
GHSR	0	0.197044	0.0805646	0.0578885	0.0517268
GID4	10.5807	11.9039	9.68123	9.36499	7.6904
GID8	164.197	184.724	167.432	171.082	157.093
GIF	0	0.937006	0	0	0
GIGYF1	29.3276	37.2166	27.1256	28.2606	33.1307
GIGYF2	19.2151	25.7569	22.4817	26.7392	22.1433
GIMAP1	0.853018	0.554904	1.94908	0.909869	0.812226
GIMAP2	0	0	0.864085	0.620598	0.677166
GIMAP4	1.80622	1.11311	1.17298	1.26361	1.19065
GIMAP6	0.147112	0.122502	0.151643	0.326064	0.0968236
GIMAP8	1.4908	1.24758	3.42498	1.61861	1.79245
GIMD1	0.708455	0.195858	0.244453	0.694694	0.463676
GIN1	8.95208	7.25654	10.7624	10.0978	10.3703
GINM1	28.342	24.9046	30.5966	31.4903	31.1747
GINS1	45.9258	30.4759	37.0942	39.5341	28.4699
GINS2	13.8587	8.76957	10.9281	12.1725	9.02981
GINS3	17.0035	17.2969	9.15342	14.8404	14.7095
GINS4	1.76569	2.38119	2.97083	2.76114	3.76363
GIP	0	0	0	0	0
GIPC1	83.3488	83.8078	72.3097	69.3987	74.4485
GIPC2	0	0.23228	0	0	0.0917518
GIPC3	0.506308	0.561488	0	0	0.221788
GIPR	0.85184	1.66556	0.218666	0.314308	0.187319
GIT1	60.92129	68.29555	55.53733	60.28156	59.63377
GIT2	8.25206	12.3001	8.69873	10.2221	9.76373
GJA1	165.224	115.628	161.974	176.323	111.904
GJA10	0.0781703	0.0654665	0	0	0
GJA3	0.943775	1.04666	0.648526	1.39299	0.620514
GJA4	8.2053	6.58061	5.96709	6.30417	4.32516
GJA5	0.959171	0.100079	0.370378	0.354401	1.02665
GJA8	0	0	0	0	0
GJA9	0.150759	0.126287	0.077419	0.556333	0.0497207
GJB1	25.5498	6.28067	25.0362	35.2684	38.8678
GJB2	1.11096	1.65906	1.61055	1.79768	2.18599
GJB3	1.5402	0.711628	0.176633	0	0
GJB4	0.175165	0	0	0.258305	0
GJB5	1.9796	1.49627	2.4159	1.32694	1.65447
GJB6	134.793	95.0135	132.131	129.907	90.9958
GJB7	0.173301	0	0.35764	0.255604	0.227751
GJC1	5.61627	5.46282	5.04191	7.16504	6.12412
GJD2	4.7771	8.56088	9.71625	7.49009	9.90125
GJD3	0	0.357795	0	0	0.278287
GJD4	0	0	0	0	0
GK	3.53545	4.20102	4.23224	5.82475	3.49982
GK2	0	0	0	0	0
GK5	19.4373	13.6056	20.9817	15.8206	15.2042
GKAP1	19.63003	22.16985	30.4768	25.29387	20.85751
GKN1	0	1.29783	0	0	0
GKN2	0	2.50559	0.624465	0	0
GLA	17.6636	14.7131	15.3459	23.0565	18.8495
GLB1	31.6622	32.761	33.592	35.0547	33.5024
GLB1L	4.23266	4.65826	6.93597	3.28427	5.07943
GLB1L2	3.92171	4.35407	2.84025	4.33941	4.52941
GLB1L3	0	0	0	0	0
GLCCI1	2.19286	3.24174	2.8952	3.43448	2.62921
GLCE	3.16619	7.03287	5.23401	4.58485	4.68213
GLDC	4.85672	11.6949	19.4244	7.08084	5.48145
GLDN	0.0848739	2.06024	0.784965	0.751888	0.839497
GLE1	31.3876	26.1969	29.9995	35.0322	32.8349
GLG1	53.36398	66.518881	52.78699	72.23464	66.00258
GLI1	1.654744	1.72583	1.27463	0.733727	0.986236
GLI2	1.15525	1.14329	1.18288	1.16852	1.16737
GLI3	3.45109	2.5821	3.28409	2.94415	3.12355
GLIPR1	2.21674	4.68058	2.81589	2.3904	4.5944
GLIPR1L1	0	0	0	0	0
GLIPR2	99.3107	90.8149	117.978	122.946	75.3795
GLIS1	0.807056	1.35353	1.21052	1.05343	0.368697
GLIS2	13.1856	16.9965	13.3912	11.6555	15.0066
GLIS3	1.03804	1.63231	1.06354	1.03674	1.28274
GLMN	6.62969	4.884	4.57823	5.9425	5.35611
GLMP	50.6096	56.5845	54.2963	54.9665	54.2872
GLO1	347.655	294.332	359.572	313.78	368.027
GLOD4	34.4826	33.7392	34.7266	47.5112	31.4088
GLOD5	0	0	0.463074	0	0
GLP1R	1.72993	3.83676	1.5112	1.78803	2.45244
GLP2R	0	0.173805	0.638747	0.30606	0.0912116
GLRA1	59.040599	45.2719	61.8897	77.2112	48.866866
GLRA2	1.782063	5.373402	2.937401	4.447173	4.807011
GLRA3	0.586262	0.583884	0.896322	0.505475	0.34502
GLRA4	0.341325	2.99977	1.40305	1.32291	0.844009
GLRB	15.1835	17.3713	17.783	20.5376	21.2931
GLRX	74.8876	108.733	91.5292	70.3086	75.8085
GLRX2	112.646	102.831	98.2221	109.949	84.3104
GLRX3	269.545	266.771	236.046	261.448	270.235
GLRX5	375.563	409.813	295.984	222.336	304.132
GLS	51.846914	54.974079	68.9094	61.17197	68.90356
GLS2	88.5956000063106	71.3242	76.9585	76.6905	85.7904
GLT1D1	77.0867	84.0024	53.1175	72.3538	67.0676
GLT6D1	0	0	0	0	0
GLT8D1	25.6902	26.9986	25.4584	25.8181	27.1467
GLT8D2	4.51785	1.75495	3.41577	1.00132	0.99095
GLTP	18.2849	15.6385	14.0046	12.4866	21.1318
GLTSCR1	7.22786	10.0365	7.49477	8.9084	8.68793
GLTSCR1L	4.56016	6.37969	3.72432	5.289	5.5607
GLTSCR2	98.5655	107.46	95.3168	87.5148	102.453
GLUD1	487.473	481.234	527.128	501.592	463.463
GLUL	1745.36	1483.7	1695.15	1884.05	1714.44
GLYATL3	0	0	0	0	0
GLYCTK	9.19019	6.23811	7.49674	6.638725	8.05839
GLYR1	90.6569	93.3294	95.9011	100.809	111.371
GM2A	21.1471	30.3955	22.7035	20.6852	30.2903
GMCL1	4.70018	6.02001	6.5667	7.22488	6.67631
GMDS	37.4402	31.4536	27.726	31.3314	33.9206
GMEB1	5.18441	6.21075	5.84366	5.19444	6.11161
GMEB2	13.6425	19.6282	13.0969	13.6252	13.2051
GMFB	13.3457	18.1655	15.142	14.747	13.6605
GMFG	5.43909	7.28676	9.08393	5.9933	6.1031
GMIP	0.930234	1.87585	1.449	1.0973	1.49896
GMNC	0	0	0.501485	0.0899672	0
GMNN	24.073	19.3797	19.4676	23.0183	18.2266
GMPPA	22.368	24.178	18.9061	25.5463	29.8649
GMPPB	8.01206	14.4021	7.77884	11.3419	11.8677
GMPR	58.9098	75.341	60.5733	94.3233	66.8236
GMPR2	21.3534	23.2213	25.6155	28.1395	22.3433
GMPS	55.0376	59.3928	51.8416	50.2208	53.3562
GNA11	80.3532	89.9105	95.3157	108.761	96.8872
GNA12	45.6123	48.3295	57.3704	51.0998	47.215
GNA13	22.5475	20.6159	22.2524	24.4195	23.1307
GNA14	0.353007	0.491188	1.2115	0.782539	0.542581
GNA15	1.10293	1.01347	0.340522	1.46667	0.363348
GNAI1	39.0937	24.3428	35.6844	44.3885	40.0045
GNAI2	77.8028	135.895	91.4457	107.659	98.7397
GNAI3	18.9623	17.6663	23.8386	21.1743	20.4785
GNAL	32.3333	41.9021	27.7157	37.9995	40.0725
GNAO1	206.6355	245.4329	222.6295	258.2517	250.2772
GNAQ	43.0774	42.9043	45.9834	47.5343	45.6572
GNAT1	0	0.467117	0	0	0
GNAT2	0.234467	0.727029	0.671628	1.76789	0.772257
GNAT3	0	0	0	0	0
GNAZ	124.051	134.648	138.41	131.553	135.837
GNB1	594.355	665.169	584.629	579.04	628.794
GNB1L	24.3671	26.8294	27.0174	24.2735	23.2785
GNB2	105.203	149.369	106.649	109.366	115.893
GNB2L1	323.673	330.962	306.858	327.895	316.942
GNB3	2.46931	15.5657	0.635045	2.27985	0.745872
GNB4	4.68578	6.52698	5.57048	7.69137	9.19525
GNB5	317.966	386.32	377.264	344.783	382.422
GNE	19.6718	24.457	19.5362	22.6364	21.8526
GNG11	23.1486	93.7937	90.081	46.9182	36.7022
GNG13	0	5.91853	3.71857	0	1.5256
GNG2	159.039	198.378	149.088	137.352	157.642
GNG3	2178.95	2639.15	2452.87	2465.09	2626.57
GNGT1	0	8.38234	0	0	0
GNL1	114.1487	133.271	115.2063	129.2084	134.6966
GNL2	16.7207	19.8857	14.0418	17.8941	17.3826
GNL3	38.2856	38.2444	34.9566	39.6624	37.0322
GNL3L	106.825	99.4457	94.9507	120.534	117.162
GNLY	0	1.77241	1.64417	0	0
GNMT	7.68553	4.79959	8.53194	16.7071	13.6183
GNPAT	29.1731	37.7881	36.3324	36.7213	34.5978
GNPDA1	54.6034	71.9927	60.9074	68.4376	63.0102
GNPDA2	17.9436	20.7834	19.9722	16.4321	18.9471
GNPNAT1	24.9132	27.8082	27.0849	31.4716	31.2662
GNPTAB	6.88719	9.14241	8.31718	8.29617	8.20883
GNPTG	51.7825	69.235	57.1389	62.5795	62.8793
GNRH1	0	6.25192	0.984462	2.68631	0.603159
GNRH2	111.613	98.8565	82.9844	59.8244	84.5152
GNRHR	0	0	0	0	0
GNS	44.944	57.6268	53.8446	56.2221	59.5753
GOLGA1	36.8285	40.008	37.6681	41.6625	39.053
GOLGA2	38.2868	39.4432	36.6574	31.6084	35.2034
GOLGA3	10.5484	9.94509	9.93096	9.81566	10.72
GOLGA4	12.0065	13.9573	13.084	14.2553	13.8438
GOLGA5	30.0988	39.0729	26.3524	36.1656	36.8195
GOLGA7	203.333	153.102	230.582	164.247	219.667
GOLGA7B	157.437	210.368	110.304	123.096	127.603
GOLGB1	8.083384	9.302745	8.09311459	9.9260204265	8.83099637
GOLIM4	21.1073	20.04724	25.66472	23.32179	24.74701
GOLM1	46.6122	63.1952	52.7962	62.5759	71.4309
GOLPH3	17.2617	21.186	15.4738	9.43495	12.9205
GOLPH3L	5.44342	6.36065	10.2145	5.54234	5.09915
GOLT1A	0.509868	0.853571	0.527808	0.741208	0.330607
GOLT1B	5.87094	7.51297	9.88438	7.40342	8.76152
GON4L	14.7386	18.7349	14.9309	17.4941	18.0324
GOPC	7.17219	7.86482	9.13333	10.41039	7.72084
GORAB	22.6637	28.4563	23.8882	24.359	24.7005
GORASP1	98.0995	90.3809	89.3091	93.7043	111.388
GORASP2	45.2138	48.3493	51.479	54.3869	57.5756
GOSR1	19.86368	17.13301	25.6944	23.1608	20.49818
GOSR2	36.3313	37.193	43.2767	46.4612	43.7647
GOT1	405.237	373.77	330.509	442.104	462.89
GOT1L1	0	0	0	0	0
GOT2	247.0474	220.3673	256.4481	278.7717	269.0867
GP1BA	0.56633	0.432093	0.158413	0.379721	0.101956
GP2	0.672018	1.18848	0.996914	2.42473	3.29995
GP5	0.126645	0.318566	0.584912	0.327031	0.167135
GP9	0	0	0.317832	0.450244	0.199565
GPA33	0	0.096115	0.592454	0.51028	0.0758274
GPAA1	61.3682	69.932825	57.8506	65.7424	68.5329
GPALPP1	11.0503	11.594	12.6525	13.1038	10.1467
GPAM	39.2928	27.2021	39.4929	39.4371	29.8841
GPANK1	21.102	22.8054	20.3981	27.1139	18.0708
GPAT2	0.0894464	0.187775	0.412664	0.0659581	0.17717
GPATCH1	4.80799	6.02795	6.00509	5.92631	6.05268
GPATCH11	70.1369	72.8295	79.0355	81.7547	80.9137
GPATCH2	9.3608	13.323	8.20747	8.98707	9.03555
GPATCH2L	17.9291	20.8278	15.101	20.3286	19.4938
GPATCH3	6.63834	8.98448	7.5661	9.85191	7.93998
GPATCH4	24.5336	21.5463	27.2633	21.435	18.8224
GPATCH8	19.09689	27.66312	22.229344	22.7207334	24.70305
GPBAR1	2.35421	4.68939	2.15618	0.676757	1.29165
GPBP1	69.897927	85.742009	79.442007	81.75769	76.785362
GPBP1L1	23.0095	23.1588	23.0537	25.7184	22.008
GPC1	64.2049	106.651	66.7696	60.782	72.0471
GPC2	0.765995	1.44505	0.655161	1.13031	1.17936
GPC3	10.173500681802	16.1751	15.543400644088	10.98495114	9.64856
GPC4	3.26276	7.64013	4.85799	4.96828	4.51579
GPC5	18.6482	15.57	21.6468	23.1061	19.0968
GPC6	3.45922	3.75833	3.1417	1.3386	1.90879
GPCPD1	16.4257	15.3695	19.7867	18.0537	18.1885
GPD1	221.077	162.636	291.087	278.676	204.883
GPD1L	204.573	164.238	200.36	212.753	227.043
GPD2	68.9647	51.592	56.5946	62.2171	56.5469
GPER1	1.15299	0.437988	0.754866	1.08394	1.51963
GPHA2	0	0	0.962751	0	0
GPHB5	0.528579	0.443102	0.548056	0	0
GPHN	18.52848	23.37554	19.30784	20.71441	23.541304
GPI	520.014	491.271	492.841	618.658	615.403
GPIHBP1	4.65926	6.95101	6.02654	4.79637	10.0677
GPKOW	155.378	157.961	147.738	139.497	162.489
GPLD1	14.2405	8.75526	10.3794	18.0824	18.2491
GPM6A	91.8305	107.935	110.268	107.916	122.825
GPM6B	645.886	408.7104	633.032	607.684	581.348
GPN2	14.3868	19.3028	12.5328	13.4385	10.7637
GPN3	25.4485	26.9528	37.3112	32.6557	33.2583
GPNMB	0.134726	0.0564641	0.345767	0.596466	0.31111
GPR1	2.70639	1.47356	3.14991	4.52134	2.94544
GPR101	0.0759216	17.8065	0.623826	2.40947	0.651007
GPR107	54.8098	65.9863	57.0967	56.1486	60.4196
GPR108	24.59493	26.3058	29.967421	28.515164	25.269929
GPR119	0	0.108612	0.134203	0	0.0857657
GPR12	3.88527	3.24454	2.11734	4.47484	5.64617
GPR132	0	0	0.212841	0.0764098	0
GPR135	2.59193	5.12229	1.50391	3.46716	2.87642
GPR137	128.861	120.491164	120.519	117.704	125.461
GPR137B	30.7655	25.2345	25.4908	24.5344	24.2218
GPR137C	2.62021	5.32676	3.56367	3.91491	3.24159
GPR139	5.49175	8.23614	3.50483	7.06192	4.93093
GPR141	0	0	0	0	0
GPR142	1.4226	0.296898	1.46476	0.43801	2.10842
GPR143	2.08561	3.89055	4.29588	2.62933	3.07046
GPR146	10.9364	9.44444	9.27887	9.89069	8.21829
GPR149	27.4429	34.3043	26.0676	35.4047	39.6082
GPR15	0	0	0	0	0
GPR150	0.209756	0	0.43378	0	0.137616
GPR151	0	0.330845	0.20348	0.0730591	0.0652026
GPR152	0.116191	0	0.0596074	0	0.0766821
GPR153	11.2419	20.0162	10.2616	8.49963	9.19064
GPR155	12.2129	11.2781	11.5232	11.6585	9.29302
GPR156	0.353456963	0.408123353	0.810789	0.74932261	0.493172
GPR157	2.50569	2.08913	1.76642	2.1443	2.25742
GPR158	2.92182	4.1561	2.88065	3.50195	4.79839
GPR160	0.253213	0.73937	2.08672	2.15226	2.41788
GPR161	52.5742	60.4875	43.3965	32.5715	44.1015
GPR162	235.405	317.775	239.139	229.723	249.828
GPR17	3.1491	5.76214	3.24291	3.9383	4.8663
GPR171	0	0.329863	0.543515	0.389873	0.347295
GPR173	3.33389	6.81824	4.69876	4.80696	5.88079
GPR176	3.43654	6.12779	4.57158	4.2774	6.27331
GPR179	0	0.0161787	0	0.0566732	0
GPR18	0.254229	0.424176	0.392842	0.187907	0.167417
GPR180	21.1646	28.5893	20.3725	27.5454	19.9258
GPR182	0.599161	0.33395	1.95145	0.590017	0.658174
GPR183	0.358333	0.199411	0	0	0.0786764
GPR19	16.3573	22.2089	15.9298	19.8957	19.5349
GPR20	0.120811	0.100836	0	0	0.0795734
GPR21	4.21232	2.91323	3.34616	2.49027	1.90253
GPR22	5.36419	7.87405	7.50176	8.24543	4.92839
GPR25	0	0	0	0	0
GPR26	33.2389	47.6243	30.3601	33.557	45.7439
GPR3	11.6983	14.9397	12.3789	19.0006	16.1698
GPR33	0	0.20715	0.255692	0	0
GPR34	3.2166	2.68308	2.38599	3.13839	2.11812
GPR35	8.01885	8.34775	5.01595	4.8651	4.8047
GPR37	47.9829	17.7667	45.3443	57.5938	41.0844
GPR37L1	261.222	177.06	209.905	241.287	204.999
GPR39	33.0932	32.0826	35.9149	34.402	48.2649
GPR4	9.75703	15.7285	13.7802	7.71181	9.56733
GPR45	6.30867	10.0773	8.20127	6.05076	8.31319
GPR50	0	4.94575	0.134571	0.43529	0.0865018
GPR52	2.76248	2.69122	2.72529	4.25233	3.56389
GPR55	0	0	0	0.0995279	0.088662
GPR6	0.575516	8.55423	1.42189	1.70093	1.28907
GPR61	10.344	19.032	14.5701	13.5925	11.4222
GPR62	8.40793	3.34991	8.67746	3.61627	7.02065
GPR63	0.968317	1.55401	1.74094	1.78692	1.49007
GPR65	0	0	0	0	0
GPR68	25.6774	35.9641	22.8952	13.9822	20.3454
GPR75	20.8701	12.7891	17.2017	15.4535	13.2996
GPR82	0	0.104385	0.128863	0	0
GPR83	12.0765	17.2548	11.6133	16.8762	16.9498
GPR84	0.102114	0.256069	0.10504	0.150843	0.471086
GPR85	4.5801	5.58015	4.81079	8.38622	6.06763
GPR87	0.0656864	0.165198	0.0674257	0	0
GPR88	4.44162	7.51639	2.86078	1.64048	3.4717
GPRC5A	0.802805	3.25618	4.84041	1.3558	1.28442
GPRC5B	458.478	308.96	419.131	423.983	466.698
GPRC5C	15.3011	15.233	19.9746	12.2058	13.9734
GPRC5D	0	0	0.125858	0.0903156	0.080491
GPRC6A	0	0	0	0	0
GPRIN1	15.3839	30.3826	17.0966	19.0324	19.707
GPRIN2	5.71719	8.57076	8.06754	6.74055	7.48354
GPRIN3	2.48658	3.29168	2.26744	1.38581	2.00592
GPS1	136.5	146.364	137.47	156.195	167.507
GPS2	20.3571	20.5203	21.1597	25.3458	20.800871
GPSM1	65.96309	69.42252	61.39457	63.026456	72.47376
GPSM2	7.36439	8.8833	10.0362	8.18059	7.56997
GPSM3	10.6382	7.02815	5.51747	6.65979	7.52782
GPT	5.80676	10.4578	8.25337	7.86771	9.28563
GPT2	72.2054	83.3632	96.0074	78.2261	71.6964
GPX1	594.12	452.025	545.897	448.858	535.06
GPX2	4.61977	3.60362	7.17813	2.33805	2.26233
GPX3	88.526	84.3775	153.074	212.925	152.999
GPX4	28.7741	26.4024	31.8812	36.7971	28.455
GPX6	29.4839	16.2109	45.1969	21.2847	34.8271
GPX7	6.72432	5.60662	2.31704	0.653791	8.42261
GPX8	7.36978	4.28953	5.33182	3.39877	4.60187
GRAMD1A	89.2233	105.992	81.9896	82.2241	93.3962
GRAMD1B	69.1803	80.1951	66.3569	78.9932	74.1964
GRAMD1C	0.913924	1.03982	0.9381	1.73397	0.990678
GRAMD2	8.0999	9.04611	12.8352	10.2229	12.3102
GRAMD3	73.93677	64.09879	71.882872	74.81128	65.28348
GRAMD4	28.05	29.4099	25.4814	28.7837	28.3369
GRAP	0	0	0	0	0
GRAP2	7.98049	5.15895	7.09004	7.11524	12.3176
GRASP	13.8641	11.096	7.1528	6.7735	6.49089
GRB10	18.6194	12.7642	14.5256	18.928306	14.686896
GRB14	2.21491	3.7604	2.68454	3.56409	2.92425
GRB2	406.889	476.719	389.659	370.272	390.106
GRB7	0.0714672	0.119769	0.146768	0.10548	0.047146
GREB1	9.69679	14.008	7.95092	10.8305	13.0264900274463
GREB1L	2.3389	2.46797	2.83134	2.57148	2.57588
GREM1	4.86668	2.47507	1.96135	2.84489	6.54381
GREM2	9.04198	8.40627	3.23098	4.58562	11.2349
GRHL1	1.81336	2.01398	1.09414	1.5342	2.28826
GRHL2	0.0486382	0.204148	0.199507	0.322829	0.449528
GRHL3	0	0	0	0	0
GRHPR	117.71	90.6252	104.71	104.414	113.923
GRIA1	62.4443	105.652	59.1369	94.0987	88.7656
GRIA2	34.08655	53.96549	34.47219	47.81611	39.28893
GRIA3	14.2134	16.15658	15.60849	17.4508	17.92781
GRIA4	18.30647	19.60277	18.7178	23.72798	25.59311
GRID1	28.2605	31.332	30.5914	34.0887	29.1049
GRID2	7.00718	8.46951	8.82021	9.37161	8.06615
GRID2IP	8.41804	19.4054	8.709	2.66506	6.75516
GRIK1	7.05244	10.4307	8.63557	9.74832	11.1087
GRIK2	12.264591	24.879405	14.2795273	18.9698116	16.368927
GRIK3	12.7718	13.4292	11.4237	14.6535	15.8706
GRIK4	22.9743	24.8434	22.4466	23.2129	22.7008
GRIK5	60.5612	93.6929	57.6159	63.5328	68.0554
GRIN1	436.933	539.069	435.089	473.807	492.9
GRIN2A	4.55261	4.89984	4.29582	4.62133000125061	4.36451
GRIN2B	0.913479	3.38871	2.30245	1.29461	1.16063
GRIN2C	7.29595	10.3584	10.3268	5.57869	6.69906
GRIN2D	19.5665	18.7945	12.3732	17.5084	20.1038
GRIN3A	3.71297	5.25461	4.32691	5.26536	5.93785
GRIN3B	1.31939	0.70829	1.1267	1.75626	1.11338
GRINA	399.087	390.655	390.231	425.811	426.886
GRIP1	6.701015	7.29326	6.64198	6.81091	7.030715
GRIP2	165.176	123.611	122.039	120.162	161.89
GRIPAP1	101.051	82.0269	91.9994	91.5575	95.5361
GRK1	0.0662359	0.721817	0.203976	0.195489	0.0874045
GRK4	4.29873	4.40363	4.97361	5.48807	5.76225
GRK5	10.4048	20.0701	15.9204	13.7991	11.583
GRK6	41.2342	47.8366	37.1401	53.7862	45.2874
GRK7	0.208291	0	0.0712843	0.051234	0
GRM1	4.512702	3.379499	3.777466	5.178341	6.500938
GRM2	1.64987	20.764	8.56624	9.91994	2.34869
GRM3	36.81427	40.0226	35.70037	42.75114	43.48304
GRM4	17.295	31.498989	16.939599	14.4805	17.935552
GRM5	2.98797	6.985	4.22278	4.4307	4.80885
GRM6	0.246216	0.124007	0.100998	0.10895	0.16254
GRM7	8.06928	20.8388	11.5159	12.493	11.4646
GRM8	3.597943	5.977901	6.00546	4.9173	5.58723
GRN	19.2388	25.7985	22.1651	20.3515	19.9668
GRPEL1	246.324	257.259	241.046	262.339	247.96
GRPEL2	6.03912	4.26758	9.26148	8.71999	6.16054
GRPR	0.093108	1.4798	0.67008	1.92506	0.675181
GRSF1	182.95	160.239	190.72	172.161	190.255
GRTP1	0.5626	0.234319	0.144945	0.727153	0.555322
GRWD1	16.9013	22.8347	21.6012	22.295	20.0262
GRXCR1	0	0	0.133833	0	0
GRXCR2	0	0	0.200252	0	0
GSAP	1.56915	3.07562	2.06196	2.01725	4.51666
GSC	0	0	0	0	0.147732
GSC2	0	1.81618	0	2.08083	6.53076
GSDMA	0	0	0	0	0
GSDMD	0.728713	0.949124	0.415929	1.37465	1.60193
GSE1	57.4026	73.2627	47.7139	43.0976	53.8999
